code,event,finished,finished_provisional,id,kickoff_time,minutes,provisional_start_time,started,team_a,team_a_score,team_h,team_h_score,stats,team_h_difficulty,team_a_difficulty,pulse_id
2367899,37.0,False,False,361,2024-05-11T14:00:00Z,0,False,False,11,,2,,[],4,3,93681
2367898,37.0,False,False,362,2024-05-11T14:00:00Z,0,False,False,4,,3,,[],3,2,93682
2367900,37.0,False,False,363,2024-05-11T14:00:00Z,0,False,False,17,,9,,[],2,2,93683
2367901,37.0,False,False,364,2024-05-11T14:00:00Z,0,False,False,13,,10,,[],5,2,93684
2367902,37.0,False,False,365,2024-05-11T14:00:00Z,0,False,False,1,,14,,[],4,4,93685
2367903,37.0,False,False,366,2024-05-11T14:00:00Z,0,False,False,5,,15,,[],3,4,93686
2367904,37.0,False,False,367,2024-05-11T14:00:00Z,0,False,False,7,,16,,[],3,2,93687
2367905,37.0,False,False,368,2024-05-11T14:00:00Z,0,False,False,6,,18,,[],2,3,93688
2367906,37.0,False,False,369,2024-05-11T14:00:00Z,0,False,False,12,,19,,[],2,3,93689
2367907,37.0,False,False,370,2024-05-11T14:00:00Z,0,False,False,8,,20,,[],2,2,93690
