code,event,finished,finished_provisional,id,kickoff_time,minutes,provisional_start_time,started,team_a,team_a_score,team_h,team_h_score,stats,team_h_difficulty,team_a_difficulty,pulse_id
2367908,38.0,False,False,371,2024-05-19T15:00:00Z,0,False,False,9,,1,,[],2,4,93691
2367909,38.0,False,False,372,2024-05-19T15:00:00Z,0,False,False,15,,4,,[],4,3,93692
2367910,38.0,False,False,373,2024-05-19T15:00:00Z,0,False,False,14,,5,,[],3,3,93693
2367911,38.0,False,False,374,2024-05-19T15:00:00Z,0,False,False,16,,6,,[],2,2,93694
2367912,38.0,False,False,375,2024-05-19T15:00:00Z,0,False,False,3,,7,,[],2,3,93695
2367913,38.0,False,False,376,2024-05-19T15:00:00Z,0,False,False,2,,8,,[],3,2,93696
2367914,38.0,False,False,377,2024-05-19T15:00:00Z,0,False,False,20,,11,,[],2,4,93697
2367915,38.0,False,False,378,2024-05-19T15:00:00Z,0,False,False,10,,12,,[],2,2,93698
2367916,38.0,False,False,379,2024-05-19T15:00:00Z,0,False,False,19,,13,,[],2,5,93699
2367917,38.0,False,False,380,2024-05-19T15:00:00Z,0,False,False,18,,17,,[],3,2,93700
