code,event,finished,finished_provisional,id,kickoff_time,minutes,provisional_start_time,started,team_a,team_a_score,team_h,team_h_score,stats,team_h_difficulty,team_a_difficulty,pulse_id
2367622,9.0,True,True,85,2023-10-21T11:30:00Z,90,False,True,9,0.0,11,2.0,"[{'identifier': 'goals_scored', 'a': [], 'h': [{'value': 2, 'element': 308}]}, {'identifier': 'assists', 'a': [], 'h': [{'value': 1, 'element': 293}, {'value': 1, 'element': 303}]}, {'identifier': 'own_goals', 'a': [], 'h': []}, {'identifier': 'penalties_saved', 'a': [], 'h': []}, {'identifier': 'penalties_missed', 'a': [], 'h': []}, {'identifier': 'yellow_cards', 'a': [{'value': 1, 'element': 265}], 'h': [{'value': 1, 'element': 302}]}, {'identifier': 'red_cards', 'a': [{'value': 1, 'element': 588}], 'h': []}, {'identifier': 'saves', 'a': [{'value': 4, 'element': 263}], 'h': [{'value': 1, 'element': 291}]}, {'identifier': 'bonus', 'a': [], 'h': [{'value': 3, 'element': 308}, {'value': 2, 'element': 291}, {'value': 1, 'element': 313}]}, {'identifier': 'bps', 'a': [{'value': 19, 'element': 263}, {'value': 18, 'element': 245}, {'value': 15, 'element': 260}, {'value': 13, 'element': 249}, {'value': 10, 'element': 246}, {'value': 9, 'element': 250}, {'value': 9, 'element': 259}, {'value': 8, 'element': 261}, {'value': 7, 'element': 265}, {'value': 5, 'element': 262}, {'value': 5, 'element': 601}, {'value': 5, 'element': 691}, {'value': 3, 'element': 661}, {'value': 1, 'element': 645}, {'value': -5, 'element': 588}], 'h': [{'value': 40, 'element': 308}, {'value': 29, 'element': 291}, {'value': 28, 'element': 313}, {'value': 26, 'element': 290}, {'value': 22, 'element': 302}, {'value': 22, 'element': 303}, {'value': 21, 'element': 311}, {'value': 19, 'element': 708}, {'value': 18, 'element': 304}, {'value': 17, 'element': 293}, {'value': 14, 'element': 309}, {'value': 10, 'element': 295}, {'value': 9, 'element': 294}, {'value': 6, 'element': 305}, {'value': 4, 'element': 298}]}]",2,4,93405
2367618,9.0,True,True,82,2023-10-21T14:00:00Z,90,False,True,20,2.0,3,1.0,"[{'identifier': 'goals_scored', 'a': [{'value': 1, 'element': 562}, {'value': 1, 'element': 590}], 'h': [{'value': 1, 'element': 85}]}, {'identifier': 'assists', 'a': [{'value': 1, 'element': 557}, {'value': 1, 'element': 567}], 'h': [{'value': 1, 'element': 63}]}, {'identifier': 'own_goals', 'a': [], 'h': []}, {'identifier': 'penalties_saved', 'a': [], 'h': []}, {'identifier': 'penalties_missed', 'a': [], 'h': []}, {'identifier': 'yellow_cards', 'a': [{'value': 1, 'element': 557}, {'value': 1, 'element': 563}, {'value': 1, 'element': 567}, {'value': 1, 'element': 570}, {'value': 1, 'element': 574}, {'value': 1, 'element': 590}], 'h': [{'value': 1, 'element': 89}, {'value': 1, 'element': 644}]}, {'identifier': 'red_cards', 'a': [], 'h': [{'value': 1, 'element': 66}]}, {'identifier': 'saves', 'a': [{'value': 3, 'element': 569}], 'h': [{'value': 5, 'element': 77}]}, {'identifier': 'bonus', 'a': [{'value': 3, 'element': 562}, {'value': 2, 'element': 590}], 'h': [{'value': 1, 'element': 63}, {'value': 1, 'element': 85}]}, {'identifier': 'bps', 'a': [{'value': 31, 'element': 562}, {'value': 28, 'element': 590}, {'value': 21, 'element': 551}, {'value': 18, 'element': 567}, {'value': 16, 'element': 545}, {'value': 15, 'element': 557}, {'value': 15, 'element': 569}, {'value': 14, 'element': 563}, {'value': 14, 'element': 573}, {'value': 13, 'element': 598}, {'value': 12, 'element': 574}, {'value': 9, 'element': 351}, {'value': 2, 'element': 559}, {'value': -2, 'element': 570}], 'h': [{'value': 22, 'element': 63}, {'value': 22, 'element': 85}, {'value': 20, 'element': 77}, {'value': 11, 'element': 70}, {'value': 10, 'element': 89}, {'value': 7, 'element': 64}, {'value': 7, 'element': 595}, {'value': 7, 'element': 643}, {'value': 6, 'element': 78}, {'value': 6, 'element': 81}, {'value': 5, 'element': 86}, {'value': 3, 'element': 65}, {'value': 2, 'element': 76}, {'value': 2, 'element': 83}, {'value': 1, 'element': 644}, {'value': -1, 'element': 66}]}]",2,2,93402
2367620,9.0,True,True,83,2023-10-21T14:00:00Z,90,False,True,6,0.0,4,3.0,"[{'identifier': 'goals_scored', 'a': [], 'h': [{'value': 1, 'element': 108}, {'value': 1, 'element': 119}, {'value': 1, 'element': 701}]}, {'identifier': 'assists', 'a': [], 'h': [{'value': 1, 'element': 108}, {'value': 1, 'element': 258}]}, {'identifier': 'own_goals', 'a': [], 'h': []}, {'identifier': 'penalties_saved', 'a': [], 'h': []}, {'identifier': 'penalties_missed', 'a': [], 'h': []}, {'identifier': 'yellow_cards', 'a': [{'value': 1, 'element': 165}, {'value': 1, 'element': 475}], 'h': [{'value': 1, 'element': 90}, {'value': 1, 'element': 105}, {'value': 1, 'element': 106}, {'value': 1, 'element': 111}, {'value': 1, 'element': 701}]}, {'identifier': 'red_cards', 'a': [{'value': 1, 'element': 176}], 'h': []}, {'identifier': 'saves', 'a': [{'value': 6, 'element': 596}], 'h': [{'value': 1, 'element': 101}]}, {'identifier': 'bonus', 'a': [], 'h': [{'value': 3, 'element': 108}, {'value': 2, 'element': 119}, {'value': 1, 'element': 112}]}, {'identifier': 'bps', 'a': [{'value': 25, 'element': 596}, {'value': 18, 'element': 173}, {'value': 12, 'element': 178}, {'value': 11, 'element': 157}, {'value': 10, 'element': 165}, {'value': 6, 'element': 605}, {'value': 6, 'element': 706}, {'value': 5, 'element': 168}, {'value': 5, 'element': 594}, {'value': 4, 'element': 176}, {'value': 4, 'element': 600}, {'value': 4, 'element': 674}, {'value': 3, 'element': 161}, {'value': 2, 'element': 660}, {'value': 1, 'element': 608}], 'h': [{'value': 42, 'element': 108}, {'value': 38, 'element': 119}, {'value': 27, 'element': 112}, {'value': 24, 'element': 96}, {'value': 24, 'element': 101}, {'value': 19, 'element': 90}, {'value': 17, 'element': 110}, {'value': 16, 'element': 701}, {'value': 10, 'element': 258}, {'value': 9, 'element': 106}, {'value': 8, 'element': 105}, {'value': 5, 'element': 114}, {'value': 4, 'element': 111}, {'value': 3, 'element': 620}, {'value': 1, 'element': 120}]}]",2,3,93403
2367623,9.0,True,True,86,2023-10-21T14:00:00Z,90,False,True,5,1.0,13,2.0,"[{'identifier': 'goals_scored', 'a': [{'value': 1, 'element': 700}], 'h': [{'value': 1, 'element': 343}, {'value': 1, 'element': 355}]}, {'identifier': 'assists', 'a': [], 'h': [{'value': 1, 'element': 678}]}, {'identifier': 'own_goals', 'a': [], 'h': []}, {'identifier': 'penalties_saved', 'a': [], 'h': []}, {'identifier': 'penalties_missed', 'a': [], 'h': []}, {'identifier': 'yellow_cards', 'a': [{'value': 1, 'element': 140}, {'value': 1, 'element': 606}], 'h': [{'value': 1, 'element': 354}, {'value': 1, 'element': 365}]}, {'identifier': 'red_cards', 'a': [], 'h': [{'value': 1, 'element': 341}]}, {'identifier': 'saves', 'a': [{'value': 3, 'element': 148}], 'h': [{'value': 2, 'element': 361}]}, {'identifier': 'bonus', 'a': [{'value': 1, 'element': 700}], 'h': [{'value': 3, 'element': 343}, {'value': 2, 'element': 355}, {'value': 1, 'element': 678}]}, {'identifier': 'bps', 'a': [{'value': 25, 'element': 700}, {'value': 20, 'element': 129}, {'value': 16, 'element': 148}, {'value': 10, 'element': 140}, {'value': 9, 'element': 134}, {'value': 7, 'element': 606}, {'value': 6, 'element': 122}, {'value': 6, 'element': 690}, {'value': 5, 'element': 133}, {'value': 5, 'element': 142}, {'value': 4, 'element': 143}, {'value': 3, 'element': 132}, {'value': 3, 'element': 135}, {'value': 3, 'element': 150}, {'value': 3, 'element': 154}, {'value': 2, 'element': 151}], 'h': [{'value': 34, 'element': 343}, {'value': 33, 'element': 355}, {'value': 25, 'element': 678}, {'value': 17, 'element': 616}, {'value': 14, 'element': 368}, {'value': 12, 'element': 344}, {'value': 12, 'element': 361}, {'value': 11, 'element': 365}, {'value': 11, 'element': 369}, {'value': 7, 'element': 353}, {'value': 7, 'element': 354}, {'value': 4, 'element': 341}, {'value': 3, 'element': 342}, {'value': 3, 'element': 350}]}]",3,5,93406
2367624,9.0,True,True,87,2023-10-21T14:00:00Z,90,False,True,8,0.0,15,4.0,"[{'identifier': 'goals_scored', 'a': [], 'h': [{'value': 1, 'element': 412}, {'value': 1, 'element': 421}, {'value': 1, 'element': 423}, {'value': 1, 'element': 433}]}, {'identifier': 'assists', 'a': [], 'h': [{'value': 2, 'element': 423}, {'value': 1, 'element': 430}]}, {'identifier': 'own_goals', 'a': [], 'h': []}, {'identifier': 'penalties_saved', 'a': [], 'h': []}, {'identifier': 'penalties_missed', 'a': [], 'h': []}, {'identifier': 'yellow_cards', 'a': [{'value': 1, 'element': 225}, {'value': 1, 'element': 232}, {'value': 1, 'element': 234}], 'h': [{'value': 1, 'element': 421}, {'value': 1, 'element': 430}]}, {'identifier': 'red_cards', 'a': [], 'h': []}, {'identifier': 'saves', 'a': [{'value': 3, 'element': 230}], 'h': [{'value': 3, 'element': 424}]}, {'identifier': 'bonus', 'a': [], 'h': [{'value': 3, 'element': 423}, {'value': 2, 'element': 430}, {'value': 1, 'element': 427}]}, {'identifier': 'bps', 'a': [{'value': 15, 'element': 228}, {'value': 14, 'element': 223}, {'value': 14, 'element': 229}, {'value': 13, 'element': 220}, {'value': 13, 'element': 221}, {'value': 13, 'element': 230}, {'value': 13, 'element': 242}, {'value': 11, 'element': 231}, {'value': 6, 'element': 234}, {'value': 5, 'element': 615}, {'value': 4, 'element': 225}, {'value': 3, 'element': 657}, {'value': 3, 'element': 721}, {'value': 1, 'element': 232}], 'h': [{'value': 55, 'element': 423}, {'value': 36, 'element': 430}, {'value': 30, 'element': 427}, {'value': 27, 'element': 424}, {'value': 26, 'element': 407}, {'value': 23, 'element': 419}, {'value': 23, 'element': 433}, {'value': 22, 'element': 421}, {'value': 21, 'element': 412}, {'value': 14, 'element': 406}, {'value': 7, 'element': 416}, {'value': 4, 'element': 402}, {'value': 3, 'element': 415}, {'value': 3, 'element': 429}, {'value': 2, 'element': 633}]}]",2,4,93407
2367625,9.0,True,True,88,2023-10-21T14:00:00Z,90,False,True,12,2.0,16,2.0,"[{'identifier': 'goals_scored', 'a': [{'value': 1, 'element': 314}, {'value': 1, 'element': 328}], 'h': [{'value': 2, 'element': 468}]}, {'identifier': 'assists', 'a': [{'value': 1, 'element': 575}, {'value': 1, 'element': 727}], 'h': [{'value': 2, 'element': 378}]}, {'identifier': 'own_goals', 'a': [], 'h': []}, {'identifier': 'penalties_saved', 'a': [], 'h': []}, {'identifier': 'penalties_missed', 'a': [], 'h': []}, {'identifier': 'yellow_cards', 'a': [], 'h': [{'value': 1, 'element': 447}, {'value': 1, 'element': 696}, {'value': 1, 'element': 713}]}, {'identifier': 'red_cards', 'a': [], 'h': []}, {'identifier': 'saves', 'a': [{'value': 6, 'element': 614}], 'h': [{'value': 2, 'element': 28}]}, {'identifier': 'bonus', 'a': [{'value': 2, 'element': 328}], 'h': [{'value': 3, 'element': 468}, {'value': 1, 'element': 378}]}, {'identifier': 'bps', 'a': [{'value': 41, 'element': 328}, {'value': 26, 'element': 314}, {'value': 24, 'element': 614}, {'value': 22, 'element': 575}, {'value': 15, 'element': 321}, {'value': 13, 'element': 727}, {'value': 12, 'element': 52}, {'value': 12, 'element': 393}, {'value': 8, 'element': 582}, {'value': 6, 'element': 318}, {'value': 5, 'element': 602}, {'value': 4, 'element': 326}, {'value': 3, 'element': 340}, {'value': 2, 'element': 586}, {'value': 2, 'element': 630}, {'value': 1, 'element': 631}], 'h': [{'value': 51, 'element': 468}, {'value': 35, 'element': 378}, {'value': 22, 'element': 439}, {'value': 16, 'element': 28}, {'value': 15, 'element': 712}, {'value': 13, 'element': 447}, {'value': 13, 'element': 453}, {'value': 13, 'element': 696}, {'value': 10, 'element': 465}, {'value': 6, 'element': 436}, {'value': 5, 'element': 469}, {'value': 4, 'element': 467}, {'value': 3, 'element': 451}, {'value': 3, 'element': 470}, {'value': 3, 'element': 604}, {'value': -4, 'element': 713}]}]",2,2,93408
2367621,9.0,True,True,84,2023-10-21T16:30:00Z,90,False,True,1,2.0,7,2.0,"[{'identifier': 'goals_scored', 'a': [{'value': 1, 'element': 26}, {'value': 1, 'element': 540}], 'h': [{'value': 1, 'element': 210}, {'value': 1, 'element': 362}]}, {'identifier': 'assists', 'a': [{'value': 1, 'element': 19}], 'h': [{'value': 1, 'element': 202}, {'value': 1, 'element': 210}]}, {'identifier': 'own_goals', 'a': [], 'h': []}, {'identifier': 'penalties_saved', 'a': [], 'h': []}, {'identifier': 'penalties_missed', 'a': [], 'h': []}, {'identifier': 'yellow_cards', 'a': [{'value': 1, 'element': 13}, {'value': 1, 'element': 29}, {'value': 1, 'element': 31}], 'h': [{'value': 1, 'element': 198}, {'value': 1, 'element': 217}, {'value': 1, 'element': 362}]}, {'identifier': 'red_cards', 'a': [], 'h': []}, {'identifier': 'saves', 'a': [{'value': 3, 'element': 113}], 'h': [{'value': 1, 'element': 145}]}, {'identifier': 'bonus', 'a': [{'value': 2, 'element': 540}], 'h': [{'value': 3, 'element': 210}, {'value': 1, 'element': 202}]}, {'identifier': 'bps', 'a': [{'value': 27, 'element': 540}, {'value': 20, 'element': 19}, {'value': 20, 'element': 26}, {'value': 17, 'element': 113}, {'value': 14, 'element': 20}, {'value': 13, 'element': 12}, {'value': 11, 'element': 5}, {'value': 11, 'element': 9}, {'value': 8, 'element': 14}, {'value': 8, 'element': 29}, {'value': 6, 'element': 8}, {'value': 3, 'element': 25}, {'value': 2, 'element': 6}, {'value': 2, 'element': 22}, {'value': -3, 'element': 13}], 'h': [{'value': 32, 'element': 210}, {'value': 26, 'element': 202}, {'value': 16, 'element': 362}, {'value': 15, 'element': 197}, {'value': 14, 'element': 203}, {'value': 13, 'element': 217}, {'value': 10, 'element': 199}, {'value': 9, 'element': 126}, {'value': 8, 'element': 198}, {'value': 7, 'element': 145}, {'value': 6, 'element': 216}, {'value': 3, 'element': 206}, {'value': 3, 'element': 208}, {'value': 1, 'element': 211}]}]",4,3,93404
2367626,9.0,True,True,89,2023-10-21T19:00:00Z,90,False,True,14,2.0,17,1.0,"[{'identifier': 'goals_scored', 'a': [{'value': 1, 'element': 377}, {'value': 1, 'element': 392}], 'h': [{'value': 1, 'element': 485}]}, {'identifier': 'assists', 'a': [{'value': 1, 'element': 373}, {'value': 1, 'element': 386}], 'h': [{'value': 1, 'element': 360}]}, {'identifier': 'own_goals', 'a': [], 'h': []}, {'identifier': 'penalties_saved', 'a': [], 'h': []}, {'identifier': 'penalties_missed', 'a': [], 'h': []}, {'identifier': 'yellow_cards', 'a': [{'value': 1, 'element': 703}], 'h': [{'value': 1, 'element': 27}, {'value': 1, 'element': 638}, {'value': 1, 'element': 693}]}, {'identifier': 'red_cards', 'a': [], 'h': []}, {'identifier': 'saves', 'a': [{'value': 5, 'element': 597}], 'h': [{'value': 3, 'element': 482}]}, {'identifier': 'bonus', 'a': [{'value': 3, 'element': 377}, {'value': 2, 'element': 373}], 'h': [{'value': 1, 'element': 485}]}, {'identifier': 'bps', 'a': [{'value': 30, 'element': 377}, {'value': 28, 'element': 373}, {'value': 22, 'element': 392}, {'value': 21, 'element': 386}, {'value': 18, 'element': 597}, {'value': 14, 'element': 387}, {'value': 13, 'element': 703}, {'value': 13, 'element': 709}, {'value': 9, 'element': 372}, {'value': 5, 'element': 379}, {'value': 4, 'element': 396}, {'value': 3, 'element': 209}, {'value': 3, 'element': 395}, {'value': 2, 'element': 382}, {'value': -1, 'element': 390}], 'h': [{'value': 26, 'element': 485}, {'value': 24, 'element': 360}, {'value': 15, 'element': 576}, {'value': 14, 'element': 482}, {'value': 11, 'element': 488}, {'value': 10, 'element': 476}, {'value': 9, 'element': 27}, {'value': 6, 'element': 33}, {'value': 5, 'element': 693}, {'value': 4, 'element': 489}, {'value': 4, 'element': 638}, {'value': 3, 'element': 593}, {'value': 1, 'element': 477}, {'value': 1, 'element': 663}]}]",3,2,93409
2367619,9.0,True,True,81,2023-10-22T15:30:00Z,90,False,True,19,1.0,2,4.0,"[{'identifier': 'goals_scored', 'a': [{'value': 1, 'element': 526}], 'h': [{'value': 2, 'element': 43}, {'value': 1, 'element': 34}, {'value': 1, 'element': 60}]}, {'identifier': 'assists', 'a': [{'value': 1, 'element': 642}], 'h': [{'value': 1, 'element': 48}, {'value': 1, 'element': 50}, {'value': 1, 'element': 58}, {'value': 1, 'element': 60}]}, {'identifier': 'own_goals', 'a': [], 'h': []}, {'identifier': 'penalties_saved', 'a': [], 'h': []}, {'identifier': 'penalties_missed', 'a': [], 'h': []}, {'identifier': 'yellow_cards', 'a': [{'value': 1, 'element': 532}], 'h': []}, {'identifier': 'red_cards', 'a': [], 'h': []}, {'identifier': 'saves', 'a': [{'value': 3, 'element': 524}], 'h': [{'value': 3, 'element': 49}]}, {'identifier': 'bonus', 'a': [{'value': 1, 'element': 526}], 'h': [{'value': 3, 'element': 43}, {'value': 2, 'element': 60}, {'value': 1, 'element': 48}]}, {'identifier': 'bps', 'a': [{'value': 25, 'element': 526}, {'value': 19, 'element': 664}, {'value': 17, 'element': 642}, {'value': 14, 'element': 524}, {'value': 11, 'element': 532}, {'value': 8, 'element': 522}, {'value': 8, 'element': 528}, {'value': 8, 'element': 544}, {'value': 7, 'element': 539}, {'value': 4, 'element': 523}, {'value': 4, 'element': 534}, {'value': 3, 'element': 535}, {'value': 3, 'element': 542}, {'value': 1, 'element': 689}], 'h': [{'value': 54, 'element': 43}, {'value': 36, 'element': 60}, {'value': 25, 'element': 48}, {'value': 22, 'element': 49}, {'value': 21, 'element': 34}, {'value': 18, 'element': 47}, {'value': 18, 'element': 50}, {'value': 18, 'element': 58}, {'value': 14, 'element': 36}, {'value': 14, 'element': 42}, {'value': 13, 'element': 599}, {'value': 12, 'element': 584}, {'value': 6, 'element': 672}]}]",2,3,93401
2367627,9.0,True,True,90,2023-10-23T19:00:00Z,90,False,True,10,0.0,18,2.0,"[{'identifier': 'goals_scored', 'a': [], 'h': [{'value': 1, 'element': 504}, {'value': 1, 'element': 516}]}, {'identifier': 'assists', 'a': [], 'h': [{'value': 1, 'element': 509}, {'value': 1, 'element': 516}]}, {'identifier': 'own_goals', 'a': [], 'h': []}, {'identifier': 'penalties_saved', 'a': [], 'h': []}, {'identifier': 'penalties_missed', 'a': [], 'h': []}, {'identifier': 'yellow_cards', 'a': [], 'h': [{'value': 1, 'element': 499}, {'value': 1, 'element': 520}]}, {'identifier': 'red_cards', 'a': [], 'h': []}, {'identifier': 'saves', 'a': [{'value': 3, 'element': 275}], 'h': [{'value': 3, 'element': 520}]}, {'identifier': 'bonus', 'a': [], 'h': [{'value': 3, 'element': 516}, {'value': 2, 'element': 511}, {'value': 1, 'element': 504}]}, {'identifier': 'bps', 'a': [{'value': 19, 'element': 280}, {'value': 17, 'element': 281}, {'value': 15, 'element': 275}, {'value': 13, 'element': 283}, {'value': 13, 'element': 610}, {'value': 11, 'element': 688}, {'value': 10, 'element': 591}, {'value': 8, 'element': 288}, {'value': 6, 'element': 270}, {'value': 4, 'element': 256}, {'value': 4, 'element': 267}, {'value': 4, 'element': 268}, {'value': 3, 'element': 276}, {'value': 2, 'element': 282}, {'value': 1, 'element': 287}, {'value': -1, 'element': 558}], 'h': [{'value': 43, 'element': 516}, {'value': 31, 'element': 511}, {'value': 30, 'element': 504}, {'value': 27, 'element': 506}, {'value': 25, 'element': 639}, {'value': 23, 'element': 520}, {'value': 14, 'element': 509}, {'value': 12, 'element': 513}, {'value': 9, 'element': 499}, {'value': 9, 'element': 515}, {'value': 7, 'element': 497}, {'value': 3, 'element': 450}, {'value': 3, 'element': 503}, {'value': 3, 'element': 519}, {'value': 2, 'element': 501}, {'value': 1, 'element': 641}]}]",2,3,93410
