code,event,finished,finished_provisional,id,kickoff_time,minutes,provisional_start_time,started,team_a,team_a_score,team_h,team_h_score,stats,team_h_difficulty,team_a_difficulty,pulse_id
2367888,36.0,False,False,351,2024-05-04T14:00:00Z,0,False,False,3,,1,,[],2,4,93671
2367889,36.0,False,False,352,2024-05-04T14:00:00Z,0,False,False,10,,4,,[],2,3,93672
2367890,36.0,False,False,353,2024-05-04T14:00:00Z,0,False,False,2,,5,,[],3,3,93673
2367891,36.0,False,False,354,2024-05-04T14:00:00Z,0,False,False,15,,6,,[],4,2,93674
2367892,36.0,False,False,355,2024-05-04T14:00:00Z,0,False,False,19,,7,,[],2,3,93675
2367893,36.0,False,False,356,2024-05-04T14:00:00Z,0,False,False,14,,8,,[],3,2,93676
2367894,36.0,False,False,357,2024-05-04T14:00:00Z,0,False,False,18,,11,,[],3,4,93677
2367895,36.0,False,False,358,2024-05-04T14:00:00Z,0,False,False,9,,12,,[],2,2,93678
2367896,36.0,False,False,359,2024-05-04T14:00:00Z,0,False,False,20,,13,,[],2,5,93679
2367897,36.0,False,False,360,2024-05-04T14:00:00Z,0,False,False,16,,17,,[],2,2,93680
