code,event,finished,finished_provisional,id,kickoff_time,minutes,provisional_start_time,started,team_a,team_a_score,team_h,team_h_score,stats,team_h_difficulty,team_a_difficulty,pulse_id
2367868,34.0,False,False,331,2024-04-20T14:00:00Z,0,False,False,3,,2,,[],2,3,93651
2367869,34.0,False,False,332,2024-04-20T14:00:00Z,0,False,False,7,,5,,[],3,3,93652
2367870,34.0,False,False,333,2024-04-20T14:00:00Z,0,False,False,19,,8,,[],2,2,93653
2367871,34.0,False,False,334,2024-04-20T14:00:00Z,0,False,False,16,,9,,[],2,2,93654
2367872,34.0,False,False,335,2024-04-20T14:00:00Z,0,False,False,11,,10,,[],4,2,93655
2367873,34.0,False,False,336,2024-04-20T14:00:00Z,0,False,False,4,,12,,[],3,2,93656
2367874,34.0,False,False,337,2024-04-20T14:00:00Z,0,False,False,15,,14,,[],4,4,93657
2367875,34.0,False,False,338,2024-04-20T14:00:00Z,0,False,False,6,,17,,[],2,2,93658
2367876,34.0,False,False,339,2024-04-20T14:00:00Z,0,False,False,13,,18,,[],5,3,93659
2367877,34.0,False,False,340,2024-04-20T14:00:00Z,0,False,False,1,,20,,[],4,2,93660
