code,event,finished,finished_provisional,id,kickoff_time,minutes,provisional_start_time,started,team_a,team_a_score,team_h,team_h_score,stats,team_h_difficulty,team_a_difficulty,pulse_id
2367709,18.0,True,True,172,2023-12-21T20:00:00Z,90,False,True,5,1.0,8,1.0,"[{'identifier': 'goals_scored', 'a': [{'value': 1, 'element': 154}], 'h': [{'value': 1, 'element': 221}]}, {'identifier': 'assists', 'a': [{'value': 1, 'element': 134}], 'h': [{'value': 1, 'element': 236}]}, {'identifier': 'own_goals', 'a': [], 'h': []}, {'identifier': 'penalties_saved', 'a': [], 'h': []}, {'identifier': 'penalties_missed', 'a': [], 'h': []}, {'identifier': 'yellow_cards', 'a': [{'value': 1, 'element': 606}, {'value': 1, 'element': 690}], 'h': [{'value': 1, 'element': 229}, {'value': 1, 'element': 232}, {'value': 1, 'element': 234}, {'value': 1, 'element': 385}, {'value': 1, 'element': 721}]}, {'identifier': 'red_cards', 'a': [], 'h': []}, {'identifier': 'saves', 'a': [{'value': 2, 'element': 152}], 'h': [{'value': 5, 'element': 385}]}, {'identifier': 'bonus', 'a': [{'value': 3, 'element': 154}, {'value': 2, 'element': 134}], 'h': [{'value': 1, 'element': 236}]}, {'identifier': 'bps', 'a': [{'value': 29, 'element': 154}, {'value': 28, 'element': 134}, {'value': 22, 'element': 150}, {'value': 19, 'element': 152}, {'value': 16, 'element': 133}, {'value': 16, 'element': 606}, {'value': 11, 'element': 143}, {'value': 9, 'element': 129}, {'value': 6, 'element': 135}, {'value': 4, 'element': 125}, {'value': 4, 'element': 144}, {'value': 4, 'element': 690}, {'value': 2, 'element': 122}, {'value': 2, 'element': 138}, {'value': 2, 'element': 621}], 'h': [{'value': 26, 'element': 236}, {'value': 22, 'element': 221}, {'value': 19, 'element': 220}, {'value': 16, 'element': 385}, {'value': 14, 'element': 228}, {'value': 11, 'element': 231}, {'value': 11, 'element': 238}, {'value': 9, 'element': 222}, {'value': 8, 'element': 232}, {'value': 4, 'element': 234}, {'value': -1, 'element': 229}, {'value': -3, 'element': 226}]}]",3,2,93492
2367708,18.0,True,True,171,2023-12-22T20:00:00Z,90,False,True,17,1.0,2,1.0,"[{'identifier': 'goals_scored', 'a': [{'value': 1, 'element': 33}], 'h': [{'value': 1, 'element': 672}]}, {'identifier': 'assists', 'a': [{'value': 1, 'element': 663}], 'h': [{'value': 1, 'element': 43}]}, {'identifier': 'own_goals', 'a': [], 'h': []}, {'identifier': 'penalties_saved', 'a': [], 'h': []}, {'identifier': 'penalties_missed', 'a': [], 'h': []}, {'identifier': 'yellow_cards', 'a': [{'value': 1, 'element': 27}, {'value': 1, 'element': 476}, {'value': 1, 'element': 592}], 'h': [{'value': 1, 'element': 34}, {'value': 1, 'element': 36}, {'value': 1, 'element': 672}]}, {'identifier': 'red_cards', 'a': [], 'h': []}, {'identifier': 'saves', 'a': [{'value': 3, 'element': 482}], 'h': [{'value': 1, 'element': 49}]}, {'identifier': 'bonus', 'a': [{'value': 2, 'element': 33}, {'value': 1, 'element': 663}], 'h': [{'value': 3, 'element': 43}]}, {'identifier': 'bps', 'a': [{'value': 25, 'element': 33}, {'value': 22, 'element': 663}, {'value': 12, 'element': 482}, {'value': 10, 'element': 488}, {'value': 10, 'element': 576}, {'value': 9, 'element': 638}, {'value': 9, 'element': 655}, {'value': 7, 'element': 27}, {'value': 6, 'element': 360}, {'value': 6, 'element': 473}, {'value': 4, 'element': 476}, {'value': 4, 'element': 484}, {'value': 4, 'element': 592}, {'value': 3, 'element': 587}], 'h': [{'value': 26, 'element': 43}, {'value': 21, 'element': 42}, {'value': 16, 'element': 672}, {'value': 15, 'element': 36}, {'value': 12, 'element': 48}, {'value': 12, 'element': 699}, {'value': 11, 'element': 50}, {'value': 10, 'element': 49}, {'value': 8, 'element': 55}, {'value': 2, 'element': 60}, {'value': 2, 'element': 599}, {'value': 1, 'element': 44}, {'value': -1, 'element': 32}, {'value': -3, 'element': 34}]}]",2,3,93491
2367716,18.0,True,True,179,2023-12-23T12:30:00Z,90,False,True,14,0.0,19,2.0,"[{'identifier': 'goals_scored', 'a': [], 'h': [{'value': 1, 'element': 526}, {'value': 1, 'element': 689}]}, {'identifier': 'assists', 'a': [], 'h': [{'value': 1, 'element': 539}]}, {'identifier': 'own_goals', 'a': [], 'h': []}, {'identifier': 'penalties_saved', 'a': [], 'h': []}, {'identifier': 'penalties_missed', 'a': [], 'h': []}, {'identifier': 'yellow_cards', 'a': [{'value': 1, 'element': 373}, {'value': 1, 'element': 398}, {'value': 1, 'element': 703}], 'h': [{'value': 1, 'element': 539}, {'value': 1, 'element': 689}]}, {'identifier': 'red_cards', 'a': [], 'h': []}, {'identifier': 'saves', 'a': [{'value': 3, 'element': 597}], 'h': [{'value': 3, 'element': 524}]}, {'identifier': 'bonus', 'a': [], 'h': [{'value': 3, 'element': 532}, {'value': 2, 'element': 689}, {'value': 1, 'element': 524}, {'value': 1, 'element': 528}]}, {'identifier': 'bps', 'a': [{'value': 16, 'element': 597}, {'value': 13, 'element': 372}, {'value': 13, 'element': 388}, {'value': 13, 'element': 401}, {'value': 12, 'element': 392}, {'value': 10, 'element': 766}, {'value': 8, 'element': 373}, {'value': 8, 'element': 703}, {'value': 7, 'element': 398}, {'value': 3, 'element': 379}, {'value': 3, 'element': 396}, {'value': 3, 'element': 617}, {'value': 2, 'element': 508}, {'value': 1, 'element': 394}, {'value': -2, 'element': 382}], 'h': [{'value': 29, 'element': 532}, {'value': 28, 'element': 689}, {'value': 26, 'element': 524}, {'value': 26, 'element': 528}, {'value': 25, 'element': 676}, {'value': 24, 'element': 526}, {'value': 19, 'element': 544}, {'value': 18, 'element': 539}, {'value': 12, 'element': 664}, {'value': 10, 'element': 642}, {'value': 5, 'element': 542}, {'value': 2, 'element': 534}, {'value': 2, 'element': 536}]}]",3,3,93499
2367710,18.0,True,True,173,2023-12-23T15:00:00Z,90,False,True,6,2.0,10,0.0,"[{'identifier': 'goals_scored', 'a': [{'value': 1, 'element': 475}, {'value': 1, 'element': 660}], 'h': []}, {'identifier': 'assists', 'a': [{'value': 1, 'element': 168}, {'value': 1, 'element': 660}], 'h': []}, {'identifier': 'own_goals', 'a': [], 'h': []}, {'identifier': 'penalties_saved', 'a': [], 'h': []}, {'identifier': 'penalties_missed', 'a': [], 'h': []}, {'identifier': 'yellow_cards', 'a': [{'value': 1, 'element': 160}], 'h': [{'value': 1, 'element': 280}, {'value': 1, 'element': 610}]}, {'identifier': 'red_cards', 'a': [], 'h': []}, {'identifier': 'saves', 'a': [{'value': 5, 'element': 596}], 'h': []}, {'identifier': 'bonus', 'a': [{'value': 3, 'element': 660}, {'value': 2, 'element': 596}, {'value': 1, 'element': 475}], 'h': []}, {'identifier': 'bps', 'a': [{'value': 38, 'element': 660}, {'value': 32, 'element': 596}, {'value': 27, 'element': 475}, {'value': 26, 'element': 160}, {'value': 26, 'element': 182}, {'value': 23, 'element': 178}, {'value': 21, 'element': 173}, {'value': 16, 'element': 161}, {'value': 14, 'element': 168}, {'value': 6, 'element': 594}, {'value': 6, 'element': 706}, {'value': 4, 'element': 177}, {'value': 3, 'element': 674}, {'value': 2, 'element': 176}, {'value': 2, 'element': 600}], 'h': [{'value': 20, 'element': 286}, {'value': 17, 'element': 268}, {'value': 17, 'element': 688}, {'value': 15, 'element': 256}, {'value': 13, 'element': 280}, {'value': 13, 'element': 283}, {'value': 11, 'element': 275}, {'value': 11, 'element': 610}, {'value': 9, 'element': 288}, {'value': 7, 'element': 267}, {'value': 7, 'element': 282}, {'value': 5, 'element': 270}, {'value': 4, 'element': 279}, {'value': 2, 'element': 707}, {'value': 1, 'element': 287}]}]",2,2,93493
2367712,18.0,True,True,175,2023-12-23T15:00:00Z,90,False,True,15,0.0,12,1.0,"[{'identifier': 'goals_scored', 'a': [], 'h': [{'value': 1, 'element': 727}]}, {'identifier': 'assists', 'a': [], 'h': [{'value': 1, 'element': 630}]}, {'identifier': 'own_goals', 'a': [], 'h': []}, {'identifier': 'penalties_saved', 'a': [], 'h': []}, {'identifier': 'penalties_missed', 'a': [], 'h': []}, {'identifier': 'yellow_cards', 'a': [{'value': 1, 'element': 204}], 'h': [{'value': 1, 'element': 393}, {'value': 1, 'element': 630}]}, {'identifier': 'red_cards', 'a': [], 'h': []}, {'identifier': 'saves', 'a': [{'value': 4, 'element': 409}], 'h': [{'value': 2, 'element': 614}]}, {'identifier': 'bonus', 'a': [], 'h': [{'value': 3, 'element': 321}, {'value': 3, 'element': 727}, {'value': 1, 'element': 316}]}, {'identifier': 'bps', 'a': [{'value': 22, 'element': 430}, {'value': 16, 'element': 409}, {'value': 14, 'element': 406}, {'value': 14, 'element': 421}, {'value': 13, 'element': 427}, {'value': 12, 'element': 405}, {'value': 11, 'element': 407}, {'value': 11, 'element': 412}, {'value': 7, 'element': 419}, {'value': 6, 'element': 402}, {'value': 4, 'element': 415}, {'value': 4, 'element': 635}, {'value': 3, 'element': 204}, {'value': 3, 'element': 633}, {'value': 1, 'element': 433}], 'h': [{'value': 30, 'element': 321}, {'value': 30, 'element': 727}, {'value': 29, 'element': 316}, {'value': 24, 'element': 614}, {'value': 23, 'element': 330}, {'value': 20, 'element': 630}, {'value': 17, 'element': 393}, {'value': 9, 'element': 21}, {'value': 7, 'element': 602}, {'value': 5, 'element': 631}, {'value': 4, 'element': 314}, {'value': 4, 'element': 315}, {'value': 3, 'element': 328}, {'value': 3, 'element': 553}, {'value': 2, 'element': 582}, {'value': -1, 'element': 326}]}]",4,2,93495
2367714,18.0,True,True,177,2023-12-23T15:00:00Z,90,False,True,3,3.0,16,2.0,"[{'identifier': 'goals_scored', 'a': [{'value': 3, 'element': 85}], 'h': [{'value': 1, 'element': 378}, {'value': 1, 'element': 468}]}, {'identifier': 'assists', 'a': [{'value': 1, 'element': 63}, {'value': 1, 'element': 83}, {'value': 1, 'element': 84}], 'h': [{'value': 1, 'element': 447}, {'value': 1, 'element': 468}]}, {'identifier': 'own_goals', 'a': [], 'h': []}, {'identifier': 'penalties_saved', 'a': [], 'h': []}, {'identifier': 'penalties_missed', 'a': [], 'h': []}, {'identifier': 'yellow_cards', 'a': [{'value': 1, 'element': 65}, {'value': 1, 'element': 82}, {'value': 1, 'element': 644}], 'h': []}, {'identifier': 'red_cards', 'a': [], 'h': [{'value': 1, 'element': 439}]}, {'identifier': 'saves', 'a': [{'value': 2, 'element': 77}], 'h': [{'value': 3, 'element': 28}]}, {'identifier': 'bonus', 'a': [{'value': 3, 'element': 85}, {'value': 1, 'element': 83}], 'h': [{'value': 2, 'element': 468}]}, {'identifier': 'bps', 'a': [{'value': 76, 'element': 85}, {'value': 32, 'element': 83}, {'value': 30, 'element': 84}, {'value': 15, 'element': 86}, {'value': 14, 'element': 77}, {'value': 13, 'element': 89}, {'value': 11, 'element': 63}, {'value': 8, 'element': 65}, {'value': 8, 'element': 78}, {'value': 5, 'element': 82}, {'value': 4, 'element': 66}, {'value': 4, 'element': 705}, {'value': 3, 'element': 81}, {'value': 1, 'element': 76}, {'value': 1, 'element': 644}, {'value': -2, 'element': 64}], 'h': [{'value': 47, 'element': 468}, {'value': 25, 'element': 447}, {'value': 19, 'element': 378}, {'value': 19, 'element': 467}, {'value': 17, 'element': 28}, {'value': 12, 'element': 457}, {'value': 10, 'element': 465}, {'value': 8, 'element': 696}, {'value': 7, 'element': 453}, {'value': 5, 'element': 470}, {'value': 5, 'element': 714}, {'value': 4, 'element': 205}, {'value': 4, 'element': 604}, {'value': 3, 'element': 442}, {'value': -8, 'element': 439}]}]",2,2,93497
2367715,18.0,True,True,178,2023-12-23T15:00:00Z,90,False,True,9,1.0,18,2.0,"[{'identifier': 'goals_scored', 'a': [{'value': 1, 'element': 244}], 'h': [{'value': 1, 'element': 509}, {'value': 1, 'element': 516}]}, {'identifier': 'assists', 'a': [], 'h': [{'value': 2, 'element': 450}]}, {'identifier': 'own_goals', 'a': [], 'h': []}, {'identifier': 'penalties_saved', 'a': [], 'h': []}, {'identifier': 'penalties_missed', 'a': [], 'h': []}, {'identifier': 'yellow_cards', 'a': [{'value': 1, 'element': 244}, {'value': 1, 'element': 254}, {'value': 1, 'element': 261}, {'value': 1, 'element': 262}], 'h': [{'value': 1, 'element': 501}]}, {'identifier': 'red_cards', 'a': [], 'h': []}, {'identifier': 'saves', 'a': [{'value': 4, 'element': 263}], 'h': [{'value': 7, 'element': 520}]}, {'identifier': 'bonus', 'a': [], 'h': [{'value': 3, 'element': 497}, {'value': 2, 'element': 520}, {'value': 1, 'element': 450}]}, {'identifier': 'bps', 'a': [{'value': 24, 'element': 244}, {'value': 19, 'element': 250}, {'value': 17, 'element': 263}, {'value': 16, 'element': 265}, {'value': 14, 'element': 245}, {'value': 12, 'element': 260}, {'value': 9, 'element': 259}, {'value': 6, 'element': 262}, {'value': 3, 'element': 661}, {'value': 3, 'element': 691}, {'value': 2, 'element': 254}, {'value': 2, 'element': 261}, {'value': -4, 'element': 246}, {'value': -4, 'element': 601}], 'h': [{'value': 30, 'element': 497}, {'value': 29, 'element': 520}, {'value': 27, 'element': 450}, {'value': 25, 'element': 516}, {'value': 21, 'element': 506}, {'value': 21, 'element': 509}, {'value': 17, 'element': 515}, {'value': 12, 'element': 511}, {'value': 12, 'element': 513}, {'value': 11, 'element': 495}, {'value': 10, 'element': 496}, {'value': 6, 'element': 503}, {'value': 5, 'element': 499}, {'value': 4, 'element': 501}]}]",2,3,93498
2367711,18.0,True,True,174,2023-12-23T17:30:00Z,90,False,True,1,1.0,11,1.0,"[{'identifier': 'goals_scored', 'a': [{'value': 1, 'element': 5}], 'h': [{'value': 1, 'element': 308}]}, {'identifier': 'assists', 'a': [{'value': 1, 'element': 14}], 'h': [{'value': 1, 'element': 290}]}, {'identifier': 'own_goals', 'a': [], 'h': []}, {'identifier': 'penalties_saved', 'a': [], 'h': []}, {'identifier': 'penalties_missed', 'a': [], 'h': []}, {'identifier': 'yellow_cards', 'a': [{'value': 1, 'element': 6}, {'value': 1, 'element': 13}, {'value': 1, 'element': 19}, {'value': 1, 'element': 29}, {'value': 1, 'element': 540}], 'h': [{'value': 1, 'element': 308}, {'value': 1, 'element': 668}]}, {'identifier': 'red_cards', 'a': [], 'h': []}, {'identifier': 'saves', 'a': [{'value': 2, 'element': 113}], 'h': [{'value': 1, 'element': 291}]}, {'identifier': 'bonus', 'a': [{'value': 3, 'element': 14}, {'value': 2, 'element': 5}], 'h': [{'value': 1, 'element': 308}]}, {'identifier': 'bps', 'a': [{'value': 26, 'element': 14}, {'value': 25, 'element': 5}, {'value': 15, 'element': 20}, {'value': 14, 'element': 540}, {'value': 13, 'element': 113}, {'value': 12, 'element': 29}, {'value': 12, 'element': 31}, {'value': 3, 'element': 12}, {'value': 3, 'element': 19}, {'value': 2, 'element': 6}, {'value': 1, 'element': 8}, {'value': -2, 'element': 13}], 'h': [{'value': 23, 'element': 308}, {'value': 20, 'element': 290}, {'value': 16, 'element': 291}, {'value': 15, 'element': 309}, {'value': 14, 'element': 668}, {'value': 13, 'element': 302}, {'value': 12, 'element': 300}, {'value': 12, 'element': 313}, {'value': 11, 'element': 298}, {'value': 8, 'element': 295}, {'value': 6, 'element': 293}, {'value': 4, 'element': 303}, {'value': 4, 'element': 311}, {'value': 3, 'element': 297}, {'value': -1, 'element': 708}]}]",4,4,93494
2367717,18.0,True,True,180,2023-12-24T13:00:00Z,90,False,True,7,1.0,20,2.0,"[{'identifier': 'goals_scored', 'a': [{'value': 1, 'element': 212}], 'h': [{'value': 1, 'element': 565}, {'value': 1, 'element': 598}]}, {'identifier': 'assists', 'a': [{'value': 1, 'element': 216}], 'h': [{'value': 1, 'element': 570}]}, {'identifier': 'own_goals', 'a': [], 'h': []}, {'identifier': 'penalties_saved', 'a': [], 'h': []}, {'identifier': 'penalties_missed', 'a': [], 'h': []}, {'identifier': 'yellow_cards', 'a': [{'value': 1, 'element': 192}, {'value': 1, 'element': 202}, {'value': 1, 'element': 203}, {'value': 1, 'element': 211}, {'value': 1, 'element': 216}, {'value': 1, 'element': 362}], 'h': [{'value': 1, 'element': 548}, {'value': 1, 'element': 565}, {'value': 1, 'element': 590}]}, {'identifier': 'red_cards', 'a': [], 'h': []}, {'identifier': 'saves', 'a': [{'value': 4, 'element': 687}], 'h': [{'value': 3, 'element': 569}]}, {'identifier': 'bonus', 'a': [{'value': 2, 'element': 212}, {'value': 1, 'element': 611}], 'h': [{'value': 3, 'element': 565}, {'value': 1, 'element': 545}, {'value': 1, 'element': 551}, {'value': 1, 'element': 570}, {'value': 1, 'element': 598}]}, {'identifier': 'bps', 'a': [{'value': 27, 'element': 212}, {'value': 18, 'element': 611}, {'value': 16, 'element': 216}, {'value': 16, 'element': 687}, {'value': 15, 'element': 197}, {'value': 15, 'element': 217}, {'value': 14, 'element': 203}, {'value': 10, 'element': 202}, {'value': 9, 'element': 613}, {'value': 8, 'element': 362}, {'value': 6, 'element': 210}, {'value': 3, 'element': 191}, {'value': 3, 'element': 609}, {'value': 2, 'element': 193}, {'value': 2, 'element': 208}, {'value': -1, 'element': 211}, {'value': -3, 'element': 192}], 'h': [{'value': 35, 'element': 565}, {'value': 18, 'element': 545}, {'value': 18, 'element': 551}, {'value': 18, 'element': 570}, {'value': 18, 'element': 598}, {'value': 16, 'element': 559}, {'value': 15, 'element': 569}, {'value': 11, 'element': 563}, {'value': 11, 'element': 573}, {'value': 7, 'element': 572}, {'value': 3, 'element': 351}, {'value': 3, 'element': 697}, {'value': 1, 'element': 548}, {'value': -2, 'element': 557}, {'value': -2, 'element': 590}]}]",3,2,93500
