element,fixture,opponent_team,total_points,was_home,kickoff_time,team_h_score,team_a_score,round,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,starts,expected_goals,expected_assists,expected_goal_involvements,expected_goals_conceded,value,transfers_balance,selected,transfers_in,transfers_out,player_id
1,21,10,0,True,2023-08-26T14:00:00Z,2.0,2.0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,45,-7682,58109,2507,10189,1
2,21,10,0,True,2023-08-26T14:00:00Z,2.0,2.0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,40,-2284,34131,1538,3822,2
3,21,10,0,True,2023-08-26T14:00:00Z,2.0,2.0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,44,320,8822,2812,2492,3
4,21,10,7,True,2023-08-26T14:00:00Z,2.0,2.0,3,34,0,2,0,1,0,0,0,0,0,0,0,22,23.0,15.3,25.0,6.3,0,0.04,0.22,0.26,0.25,54,-1390,9325,183,1573,4
5,21,10,0,True,2023-08-26T14:00:00Z,2.0,2.0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,49,-621417,2040170,36142,657559,5
6,21,10,1,True,2023-08-26T14:00:00Z,2.0,2.0,3,55,0,0,0,1,0,0,0,0,0,0,0,2,5.4,23.6,13.0,4.2,1,0.27,0.14,0.41,0.29,74,-76821,308042,5577,82398,6
7,21,10,0,True,2023-08-26T14:00:00Z,2.0,2.0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,45,-1586,16044,517,2103,7
8,21,10,1,True,2023-08-26T14:00:00Z,2.0,2.0,3,1,0,0,0,0,0,0,0,0,0,0,0,1,3.0,0.3,35.0,3.8,0,0.14,0.01,0.15,0.12,79,-20602,114556,8903,29505,8
9,21,10,1,True,2023-08-26T14:00:00Z,2.0,2.0,3,6,0,0,0,1,0,0,0,0,0,0,0,4,4.2,6.7,0.0,1.1,0,0.00,0.03,0.03,0.25,55,-1887,19366,652,2539,9
10,21,10,1,True,2023-08-26T14:00:00Z,2.0,2.0,3,90,0,0,0,2,0,0,0,0,0,0,0,11,16.0,4.7,14.0,3.5,1,0.32,0.03,0.35,0.53,44,-758,9160,332,1090,10
11,21,10,0,True,2023-08-26T14:00:00Z,2.0,2.0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,45,-2907,8103,0,2907,11
12,21,10,2,True,2023-08-26T14:00:00Z,2.0,2.0,3,90,0,0,0,2,0,0,0,0,0,0,0,12,12.2,8.3,75.0,9.6,1,0.54,0.11,0.65,0.53,80,-55951,1386937,71354,127305,12
13,21,10,5,True,2023-08-26T14:00:00Z,2.0,2.0,3,45,1,0,0,1,0,0,0,0,0,0,0,24,28.6,7.1,33.0,6.9,0,0.43,0.10,0.53,0.25,56,121675,639022,183104,61429,13
14,21,10,2,True,2023-08-26T14:00:00Z,2.0,2.0,3,83,0,0,0,1,0,0,0,0,0,0,0,10,11.8,12.4,24.0,4.8,1,0.11,0.14,0.25,0.29,85,68376,2222102,166740,98364,14
15,21,10,1,True,2023-08-26T14:00:00Z,2.0,2.0,3,55,0,0,0,1,0,0,0,0,0,0,0,16,11.0,6.5,0.0,1.8,1,0.00,0.08,0.08,0.29,50,-3509,35427,2082,5591,15
