element,fixture,opponent_team,total_points,was_home,kickoff_time,team_h_score,team_a_score,round,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,starts,expected_goals,expected_assists,expected_goal_involvements,expected_goals_conceded,value,transfers_balance,selected,transfers_in,transfers_out,player_id
1,62,3,0,False,2023-09-30T14:00:00Z,0.0,4.0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,44,-3132,29679,0,3132,1
2,62,3,0,False,2023-09-30T14:00:00Z,0.0,4.0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,39,840,39333,3081,2241,2
3,62,3,0,False,2023-09-30T14:00:00Z,0.0,4.0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,44,617,7959,1243,626,3
4,62,3,1,False,2023-09-30T14:00:00Z,0.0,4.0,7,14,0,0,0,0,0,0,0,0,0,0,0,2,4.4,16.0,0.0,2.0,0,0.00,0.03,0.03,0.00,54,130,14358,2573,2443,4
5,62,3,6,False,2023-09-30T14:00:00Z,0.0,4.0,7,90,0,0,1,0,0,0,0,0,0,0,0,25,24.8,0.3,0.0,2.5,1,0.00,0.00,0.00,0.69,47,-21721,1281517,54236,75957,5
6,62,3,7,False,2023-09-30T14:00:00Z,0.0,4.0,7,80,1,0,1,0,0,0,0,1,0,0,0,18,39.6,3.5,26.0,6.9,1,0.82,0.02,0.84,0.69,71,-11888,170271,4545,16433,6
7,65,14,0,False,2023-09-30T14:00:00Z,0.0,1.0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,44,-449,15142,314,763,7
8,62,3,5,False,2023-09-30T14:00:00Z,0.0,4.0,7,90,0,1,1,0,0,0,0,0,0,0,0,20,9.4,35.2,20.0,6.5,1,0.11,0.19,0.30,0.69,80,61954,408882,92182,30228,8
9,62,3,1,False,2023-09-30T14:00:00Z,0.0,4.0,7,9,0,0,0,0,0,0,0,0,0,0,0,3,4.0,1.3,0.0,0.5,0,0.00,0.01,0.01,0.00,54,280,18830,1240,960,9
10,62,3,0,False,2023-09-30T14:00:00Z,0.0,4.0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,44,-233,9083,262,495,10
11,62,3,0,False,2023-09-30T14:00:00Z,0.0,4.0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,45,-295,5453,0,295,11
12,62,3,0,False,2023-09-30T14:00:00Z,0.0,4.0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,77,-166167,464129,1083,167250,12
13,62,3,5,False,2023-09-30T14:00:00Z,0.0,4.0,7,68,0,1,1,0,0,0,0,0,0,0,0,16,2.6,3.2,15.0,2.1,1,0.12,0.08,0.20,0.34,55,-16870,562069,49298,66168,13
14,62,3,17,False,2023-09-30T14:00:00Z,0.0,4.0,7,90,1,2,1,0,0,0,0,0,0,0,3,56,64.8,48.3,27.0,14.0,1,0.79,0.38,1.17,0.69,85,44576,2213647,183019,138443,14
15,62,3,0,False,2023-09-30T14:00:00Z,0.0,4.0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,48,-2365,19651,31,2396,15
16,62,3,0,False,2023-09-30T14:00:00Z,0.0,4.0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,49,-455,5349,0,455,16
17,62,3,0,False,2023-09-30T14:00:00Z,0.0,4.0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,49,-196865,1224482,7214,204079,17
18,62,3,0,False,2023-09-30T14:00:00Z,0.0,4.0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,40,-636,11322,0,636,18
19,62,3,9,False,2023-09-30T14:00:00Z,0.0,4.0,7,75,1,0,1,0,0,0,0,0,0,0,1,29,39.8,4.1,78.0,12.2,1,0.96,0.45,1.41,0.69,87,-596518,5808416,160937,757455,19
20,62,3,6,False,2023-09-30T14:00:00Z,0.0,4.0,7,90,0,0,1,0,0,0,0,0,0,0,0,25,7.4,0.4,0.0,0.8,1,0.00,0.00,0.00,0.69,52,-179708,2682207,62539,242247,20
21,63,9,0,False,2023-09-30T14:00:00Z,1.0,2.0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,49,-250,2080,228,478,21
21,15,6,0,True,2023-10-03T18:30:00Z,1.0,2.0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,49,-250,2080,228,478,21
