element,fixture,opponent_team,total_points,was_home,kickoff_time,team_h_score,team_a_score,round,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,starts,expected_goals,expected_assists,expected_goal_involvements,expected_goals_conceded,value,transfers_balance,selected,transfers_in,transfers_out,player_id
1,111,6,0,True,2023-11-11T15:00:00Z,3.0,1.0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,44,-729,23422,0,729,1
2,111,6,0,True,2023-11-11T15:00:00Z,3.0,1.0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,39,-390,44587,1464,1854,2
3,111,6,0,True,2023-11-11T15:00:00Z,3.0,1.0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,44,-456,10665,579,1035,3
4,111,6,-2,True,2023-11-11T15:00:00Z,3.0,1.0,12,23,0,0,0,0,0,0,0,0,1,0,0,-7,0.0,0.3,0.0,0.0,0,0.00,0.00,0.00,0.07,54,16,12399,621,605,4
5,111,6,2,True,2023-11-11T15:00:00Z,3.0,1.0,12,90,0,0,0,1,0,0,0,0,0,0,0,10,10.6,12.8,19.0,4.2,1,0.14,0.03,0.17,0.30,48,94101,1534828,130796,36695,5
6,111,6,1,True,2023-11-11T15:00:00Z,3.0,1.0,12,58,0,0,0,1,0,0,0,0,0,0,0,0,0.0,12.5,23.0,3.4,1,0.36,0.05,0.41,0.26,71,1092,158817,4858,3766,6
7,116,9,0,True,2023-11-11T15:00:00Z,2.0,3.0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,43,-175,14381,207,382,7
8,111,6,0,True,2023-11-11T15:00:00Z,3.0,1.0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,78,-21811,196315,724,22535,8
9,111,6,2,True,2023-11-11T15:00:00Z,3.0,1.0,12,90,0,0,0,1,0,0,0,0,0,0,0,13,10.0,15.8,0.0,2.6,1,0.00,0.05,0.05,0.30,53,222,19207,734,512,9
10,111,6,1,True,2023-11-11T15:00:00Z,3.0,1.0,12,1,0,0,0,0,0,0,0,0,0,0,0,3,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.05,43,-40,9294,346,386,10
11,111,6,0,True,2023-11-11T15:00:00Z,3.0,1.0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,45,-81,4828,0,81,11
12,111,6,2,True,2023-11-11T15:00:00Z,3.0,1.0,12,88,0,0,0,1,0,0,0,0,0,0,0,10,19.8,44.4,35.0,9.9,1,0.09,0.21,0.30,0.30,78,274189,796703,292745,18556,12
13,111,6,1,True,2023-11-11T15:00:00Z,3.0,1.0,12,9,0,0,0,0,0,0,0,0,0,0,0,2,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.03,57,181341,1055352,277209,95868,13
14,111,6,0,True,2023-11-11T15:00:00Z,3.0,1.0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,84,-400725,1525026,5747,406472,14
15,111,6,0,True,2023-11-11T15:00:00Z,3.0,1.0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,48,-685,17296,15,700,15
16,111,6,0,True,2023-11-11T15:00:00Z,3.0,1.0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,49,-73,4736,0,73,16
17,111,6,0,True,2023-11-11T15:00:00Z,3.0,1.0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,47,-39293,793804,1732,41025,17
18,111,6,0,True,2023-11-11T15:00:00Z,3.0,1.0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,40,-199,9720,0,199,18
19,111,6,5,True,2023-11-11T15:00:00Z,3.0,1.0,12,80,0,1,0,1,0,0,0,0,0,0,0,20,21.0,43.8,29.0,9.4,1,0.15,0.40,0.55,0.27,86,-45266,5090849,222994,268260,19
20,111,6,9,True,2023-11-11T15:00:00Z,3.0,1.0,12,90,1,0,0,1,0,0,0,0,0,0,1,27,47.6,5.5,33.0,8.6,1,0.64,0.03,0.67,0.30,53,292317,2929972,319162,26845,20
21,118,14,0,False,2023-11-11T15:00:00Z,1.0,0.0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,49,-19,1637,23,42,21
22,111,6,0,True,2023-11-11T15:00:00Z,3.0,1.0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,53,-977,10710,27,1004,22
23,119,19,0,False,2023-11-12T14:00:00Z,3.0,2.0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,40,-37,28469,696,733,23
24,111,6,0,True,2023-11-11T15:00:00Z,3.0,1.0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,44,-222,11010,0,222,24
25,111,6,2,True,2023-11-11T15:00:00Z,3.0,1.0,12,90,0,0,0,1,0,0,0,0,0,0,0,13,17.0,6.4,2.0,2.5,1,0.02,0.10,0.12,0.30,45,8445,42240,10262,1817,25
