element,fixture,opponent_team,total_points,was_home,kickoff_time,team_h_score,team_a_score,round,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,starts,expected_goals,expected_assists,expected_goal_involvements,expected_goals_conceded,value,transfers_balance,selected,transfers_in,transfers_out,player_id
1,161,5,0,True,2023-12-17T14:00:00Z,2.0,0.0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,44,-382,21444,0,382,1
2,161,5,0,True,2023-12-17T14:00:00Z,2.0,0.0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,39,-579,44654,1150,1729,2
3,161,5,0,True,2023-12-17T14:00:00Z,2.0,0.0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,44,-569,9176,124,693,3
4,161,5,0,True,2023-12-17T14:00:00Z,2.0,0.0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,54,-274,9259,16,290,4
5,161,5,6,True,2023-12-17T14:00:00Z,2.0,0.0,17,90,0,0,1,0,0,0,0,0,0,0,0,24,10.0,2.1,19.0,3.1,1,0.06,0.05,0.11,0.69,49,-21353,1588625,19918,41271,5
6,161,5,8,True,2023-12-17T14:00:00Z,2.0,0.0,17,88,1,0,1,0,0,0,0,0,0,0,0,24,30.6,6.6,30.0,6.7,1,0.63,0.04,0.67,0.67,71,1854,175525,6633,4779,6
7,167,13,0,False,2023-12-16T15:00:00Z,2.0,2.0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,43,-377,12658,70,447,7
8,161,5,9,True,2023-12-17T14:00:00Z,2.0,0.0,17,80,1,0,1,0,0,0,0,0,0,0,3,40,40.8,28.3,64.0,13.3,1,0.44,0.05,0.49,0.08,79,43006,448639,66290,23284,8
9,161,5,0,True,2023-12-17T14:00:00Z,2.0,0.0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,53,-267,19095,178,445,9
10,161,5,1,True,2023-12-17T14:00:00Z,2.0,0.0,17,1,0,0,0,0,0,0,0,0,0,0,0,5,2.0,0.1,0.0,0.2,0,0.00,0.00,0.00,0.02,43,-160,9086,120,280,10
11,161,5,0,True,2023-12-17T14:00:00Z,2.0,0.0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,45,-41,4575,0,41,11
12,161,5,3,True,2023-12-17T14:00:00Z,2.0,0.0,17,81,0,0,1,0,0,0,0,0,0,0,0,18,21.2,75.3,27.0,12.4,1,0.24,0.73,0.97,0.08,78,-63799,639816,12339,76138,12
13,161,5,4,True,2023-12-17T14:00:00Z,2.0,0.0,17,9,0,1,0,0,0,0,0,0,0,0,0,15,16.4,10.3,0.0,2.7,0,0.00,0.00,0.00,0.61,54,-83978,591840,7290,91268,13
14,161,5,3,True,2023-12-17T14:00:00Z,2.0,0.0,17,90,0,0,1,0,0,0,0,0,0,0,0,13,14.2,51.2,42.0,10.7,1,0.42,0.12,0.54,0.69,84,17419,1547514,60647,43228,14
15,161,5,0,True,2023-12-17T14:00:00Z,2.0,0.0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,48,-201,15922,9,210,15
16,161,5,0,True,2023-12-17T14:00:00Z,2.0,0.0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,49,-19,4600,0,19,16
17,161,5,0,True,2023-12-17T14:00:00Z,2.0,0.0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,46,-21247,693690,1795,23042,17
18,161,5,0,True,2023-12-17T14:00:00Z,2.0,0.0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,40,-167,8808,0,167,18
19,161,5,3,True,2023-12-17T14:00:00Z,2.0,0.0,17,88,0,0,1,0,0,0,0,0,0,0,0,15,7.6,42.9,52.0,10.3,1,0.23,0.71,0.94,0.67,90,44976,6156547,139820,94844,19
20,161,5,7,True,2023-12-17T14:00:00Z,2.0,0.0,17,90,0,0,1,0,0,0,0,0,0,0,1,29,18.8,2.3,2.0,2.3,1,0.00,0.01,0.01,0.69,55,30570,3714787,100406,69836,20
22,161,5,1,True,2023-12-17T14:00:00Z,2.0,0.0,17,1,0,0,0,0,0,0,0,0,0,0,0,3,3.2,0.0,17.0,2.0,0,0.09,0.00,0.09,0.02,53,-107,9639,37,144,22
23,169,18,0,True,2023-12-15T20:00:00Z,0.0,2.0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,40,-461,28393,367,828,23
24,161,5,0,True,2023-12-17T14:00:00Z,2.0,0.0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,44,-92,10498,0,92,24
25,161,5,0,True,2023-12-17T14:00:00Z,2.0,0.0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,45,-13576,40899,115,13691,25
26,161,5,1,True,2023-12-17T14:00:00Z,2.0,0.0,17,8,0,0,0,0,0,0,0,0,0,0,0,3,2.2,10.3,2.0,1.5,0,0.00,0.04,0.04,0.61,65,-22868,217842,3188,26056,26
27,165,7,1,False,2023-12-16T15:00:00Z,2.0,0.0,17,90,0,0,0,2,0,0,0,0,0,0,0,14,17.4,0.3,0.0,1.8,1,0.00,0.00,0.00,2.75,39,19848,245043,29484,9636,27
28,169,18,2,True,2023-12-15T20:00:00Z,0.0,2.0,17,90,0,0,0,2,0,0,0,0,0,4,0,13,29.2,0.0,0.0,2.9,1,0.00,0.00,0.00,1.53,39,11015,1294770,38477,27462,28
29,161,5,5,True,2023-12-17T14:00:00Z,2.0,0.0,17,90,0,0,1,0,0,0,0,1,0,0,0,21,11.8,15.6,10.0,3.7,1,0.05,0.04,0.09,0.69,56,-4980,1181935,28955,33935,29
30,161,5,0,True,2023-12-17T14:00:00Z,2.0,0.0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,60,-2,994,0,2,30
31,161,5,8,True,2023-12-17T14:00:00Z,2.0,0.0,17,90,0,0,1,0,0,0,0,0,0,0,2,30,13.2,25.0,2.0,4.0,1,0.00,0.05,0.05,0.67,52,574,1344537,54277,53703,31
32,163,4,10,False,2023-12-17T14:00:00Z,1.0,2.0,17,90,1,0,0,1,0,0,0,0,0,0,2,22,45.0,4.3,62.0,11.1,1,0.68,0.05,0.73,0.51,50,7733,22649,9188,1455,32
33,165,7,2,False,2023-12-16T15:00:00Z,2.0,0.0,17,90,0,0,0,2,0,0,0,0,0,0,0,7,14.0,0.8,13.0,2.8,1,0.23,0.00,0.23,2.75,46,-74986,947511,15981,90967,33
34,163,4,3,False,2023-12-17T14:00:00Z,1.0,2.0,17,25,0,1,0,0,0,0,0,1,0,0,0,11,18.0,15.3,2.0,3.5,0,0.00,0.23,0.23,0.00,56,86420,246264,102517,16097,34
35,163,4,0,False,2023-12-17T14:00:00Z,1.0,2.0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,57,-11,3990,19,30,35
36,163,4,2,False,2023-12-17T14:00:00Z,1.0,2.0,17,64,0,0,0,1,0,0,0,0,0,0,0,3,3.0,2.8,7.0,1.3,1,0.17,0.02,0.19,0.51,48,-127324,2271410,41553,168877,36
