element,fixture,opponent_team,total_points,was_home,kickoff_time,team_h_score,team_a_score,round,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,starts,expected_goals,expected_assists,expected_goal_involvements,expected_goals_conceded,value,transfers_balance,selected,transfers_in,transfers_out,player_id
1,107,15,0,False,2023-11-04T17:30:00Z,1.0,0.0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,44,-809,24152,0,809,1
2,107,15,0,False,2023-11-04T17:30:00Z,1.0,0.0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,39,170,44923,2061,1891,2
3,107,15,0,False,2023-11-04T17:30:00Z,1.0,0.0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,44,1893,11192,2597,704,3
4,107,15,1,False,2023-11-04T17:30:00Z,1.0,0.0,11,11,0,0,0,0,0,0,0,0,0,0,0,2,0.4,1.2,0.0,0.2,0,0.00,0.01,0.01,0.00,54,76,12276,604,528,4
5,107,15,2,False,2023-11-04T17:30:00Z,1.0,0.0,11,90,0,0,0,1,0,0,0,0,0,0,0,12,19.0,2.0,2.0,2.3,1,0.00,0.03,0.03,1.09,48,-102642,1431782,26641,129283,5
6,107,15,1,False,2023-11-04T17:30:00Z,1.0,0.0,11,90,0,0,0,1,0,0,0,1,0,0,0,5,5.2,3.3,23.0,3.2,1,0.08,0.06,0.14,1.09,71,-4952,156522,869,5821,6
7,102,6,0,False,2023-11-04T15:00:00Z,0.0,2.0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,43,-219,14508,285,504,7
8,107,15,0,False,2023-11-04T17:30:00Z,1.0,0.0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,78,-76677,216473,547,77224,8
9,107,15,2,False,2023-11-04T17:30:00Z,1.0,0.0,11,78,0,0,0,1,0,0,0,0,0,0,0,13,5.8,15.8,3.0,2.5,1,0.05,0.05,0.10,1.09,53,-168,18754,628,796,9
10,107,15,0,False,2023-11-04T17:30:00Z,1.0,0.0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,43,491,9289,765,274,10
11,107,15,0,False,2023-11-04T17:30:00Z,1.0,0.0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,45,-90,4912,0,90,11
12,107,15,2,False,2023-11-04T17:30:00Z,1.0,0.0,11,90,0,0,0,1,0,0,0,0,0,0,0,11,19.0,67.0,34.0,12.0,1,0.14,0.22,0.36,1.09,77,-22549,504360,19351,41900,12
13,107,15,2,False,2023-11-04T17:30:00Z,1.0,0.0,11,78,0,0,0,1,0,0,0,0,0,0,0,1,0.0,13.0,15.0,2.8,1,0.15,0.01,0.16,1.09,56,337074,873042,362687,25613,13
14,107,15,0,False,2023-11-04T17:30:00Z,1.0,0.0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,84,-289502,1929688,10562,300064,14
15,107,15,0,False,2023-11-04T17:30:00Z,1.0,0.0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,48,-1077,18001,21,1098,15
