element,fixture,opponent_team,total_points,was_home,kickoff_time,team_h_score,team_a_score,round,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,starts,expected_goals,expected_assists,expected_goal_involvements,expected_goals_conceded,value,transfers_balance,selected,transfers_in,transfers_out,player_id
1,31,14,0,True,2023-09-03T15:30:00Z,3.0,1.0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,44,-9696,49814,2558,12254,1
2,31,14,0,True,2023-09-03T15:30:00Z,3.0,1.0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,40,-2092,33330,930,3022,2
3,31,14,0,True,2023-09-03T15:30:00Z,3.0,1.0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,44,-1304,7446,133,1437,3
4,31,14,4,True,2023-09-03T15:30:00Z,3.0,1.0,4,13,0,1,0,0,0,0,0,0,0,0,0,15,18.0,12.2,4.0,3.4,0,0.00,0.01,0.01,0.06,54,1049,11354,1919,870,4
5,31,14,2,True,2023-09-03T15:30:00Z,3.0,1.0,4,90,0,0,0,1,0,0,0,0,0,0,0,16,21.2,2.2,0.0,2.3,1,0.00,0.01,0.01,0.96,48,-595383,1453168,13908,609291,5
6,31,14,2,True,2023-09-03T15:30:00Z,3.0,1.0,4,76,0,0,0,1,0,0,0,0,0,0,0,5,7.8,12.3,21.0,4.1,1,0.36,0.04,0.40,0.90,73,-84114,228041,1637,85751,6
7,31,14,0,True,2023-09-03T15:30:00Z,3.0,1.0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,44,-1322,15197,341,1663,7
8,31,14,6,True,2023-09-03T15:30:00Z,3.0,1.0,4,14,1,0,0,0,0,0,0,1,0,0,2,25,35.0,11.3,23.0,6.9,0,0.67,0.04,0.71,0.06,79,16469,147993,29980,13511,8
9,31,14,1,True,2023-09-03T15:30:00Z,3.0,1.0,4,1,0,0,0,0,0,0,0,0,0,0,0,3,0.2,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,54,-1618,18732,392,2010,9
10,31,14,0,True,2023-09-03T15:30:00Z,3.0,1.0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,44,-103,9583,745,848,10
