element,fixture,opponent_team,total_points,was_home,kickoff_time,team_h_score,team_a_score,round,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,starts,expected_goals,expected_assists,expected_goal_involvements,expected_goals_conceded,value,transfers_balance,selected,transfers_in,transfers_out,player_id
1,151,2,0,False,2023-12-09T17:30:00Z,1.0,0.0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,44,-260,21858,0,260,1
2,151,2,0,False,2023-12-09T17:30:00Z,1.0,0.0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,39,32,44812,1099,1067,2
3,151,2,0,False,2023-12-09T17:30:00Z,1.0,0.0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,44,-377,9734,148,525,3
4,151,2,0,False,2023-12-09T17:30:00Z,1.0,0.0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,54,-211,9540,23,234,4
5,151,2,2,False,2023-12-09T17:30:00Z,1.0,0.0,16,90,0,0,0,1,0,0,0,0,0,0,0,18,28.2,14.0,0.0,4.2,1,0.00,0.01,0.01,0.51,49,-43088,1609736,13305,56393,5
6,151,2,2,False,2023-12-09T17:30:00Z,1.0,0.0,16,90,0,0,0,1,0,0,0,0,0,0,0,6,8.6,22.3,21.0,5.2,1,0.02,0.27,0.29,0.51,71,5391,172580,8706,3315,6
7,153,11,0,True,2023-12-09T12:30:00Z,1.0,2.0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,43,-374,13055,42,416,7
8,151,2,2,False,2023-12-09T17:30:00Z,1.0,0.0,16,81,0,0,0,1,0,0,0,0,0,0,0,3,12.2,15.9,27.0,5.5,1,0.04,0.17,0.21,0.42,79,44968,397082,62371,17403,8
9,151,2,0,False,2023-12-09T17:30:00Z,1.0,0.0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,53,-363,19237,161,524,9
10,151,2,0,False,2023-12-09T17:30:00Z,1.0,0.0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,43,-69,9173,148,217,10
11,151,2,0,False,2023-12-09T17:30:00Z,1.0,0.0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,45,-38,4622,0,38,11
