element,fixture,opponent_team,total_points,was_home,kickoff_time,team_h_score,team_a_score,round,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,starts,expected_goals,expected_assists,expected_goal_involvements,expected_goals_conceded,value,transfers_balance,selected,transfers_in,transfers_out,player_id
1,84,7,0,False,2023-10-21T16:30:00Z,2.0,2.0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,44,-1453,26039,0,1453,1
2,84,7,0,False,2023-10-21T16:30:00Z,2.0,2.0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,39,1172,42211,2986,1814,2
3,84,7,0,False,2023-10-21T16:30:00Z,2.0,2.0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,44,324,8786,1006,682,3
4,84,7,0,False,2023-10-21T16:30:00Z,2.0,2.0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,54,-862,12793,313,1175,4
5,84,7,1,False,2023-10-21T16:30:00Z,2.0,2.0,9,90,0,0,0,2,0,0,0,0,0,0,0,11,10.4,2.1,17.0,3.0,1,0.13,0.01,0.14,1.36,47,61588,1303504,106197,44609,5
6,84,7,1,False,2023-10-21T16:30:00Z,2.0,2.0,9,12,0,0,0,0,0,0,0,0,0,0,0,2,0.0,0.8,0.0,0.1,0,0.00,0.01,0.01,0.02,71,-3441,165616,2375,5816,6
7,87,15,0,False,2023-10-21T14:00:00Z,4.0,0.0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,44,-319,14821,230,549,7
8,84,7,2,False,2023-10-21T16:30:00Z,2.0,2.0,9,67,0,0,0,2,0,0,0,0,0,0,0,6,0.6,0.8,14.0,1.5,1,0.27,0.00,0.27,1.30,79,-5821,356346,28245,34066,8
9,84,7,2,False,2023-10-21T16:30:00Z,2.0,2.0,9,67,0,0,0,2,0,0,0,0,0,0,0,11,12.2,14.9,6.0,3.3,1,0.04,0.10,0.14,1.30,54,-177,18610,488,665,9
10,84,7,0,False,2023-10-21T16:30:00Z,2.0,2.0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,43,-207,8796,154,361,10
11,84,7,0,False,2023-10-21T16:30:00Z,2.0,2.0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,45,-158,5111,0,158,11
12,84,7,2,False,2023-10-21T16:30:00Z,2.0,2.0,9,77,0,0,0,2,0,0,0,0,0,0,0,13,6.8,34.1,11.0,5.2,1,0.04,0.17,0.21,1.34,77,63024,467749,81385,18361,12
13,84,7,0,False,2023-10-21T16:30:00Z,2.0,2.0,9,22,0,0,0,0,0,0,0,1,0,0,0,-3,3.0,1.1,11.0,1.5,0,0.06,0.00,0.06,0.06,55,-15108,519082,24497,39605,13
14,84,7,2,False,2023-10-21T16:30:00Z,2.0,2.0,9,77,0,0,0,2,0,0,0,0,0,0,0,8,7.0,29.8,0.0,3.7,1,0.00,0.11,0.11,1.34,85,42087,2374067,126893,84806,14
15,84,7,0,False,2023-10-21T16:30:00Z,2.0,2.0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,48,216,19761,754,538,15
16,84,7,0,False,2023-10-21T16:30:00Z,2.0,2.0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,49,-166,4974,0,166,16
17,84,7,0,False,2023-10-21T16:30:00Z,2.0,2.0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,48,-103107,979927,3625,106732,17
18,84,7,0,False,2023-10-21T16:30:00Z,2.0,2.0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,40,-375,10504,0,375,18
19,84,7,5,False,2023-10-21T16:30:00Z,2.0,2.0,9,90,0,1,0,2,0,0,0,0,0,0,0,20,33.0,43.3,6.0,8.2,1,0.00,0.16,0.16,1.36,85,-470223,4680006,59119,529342,19
20,84,7,1,False,2023-10-21T16:30:00Z,2.0,2.0,9,90,0,0,0,2,0,0,0,0,0,0,0,14,10.2,2.1,0.0,1.2,1,0.00,0.01,0.01,1.36,52,-134453,2492944,47496,181949,20
21,88,16,0,False,2023-10-21T14:00:00Z,2.0,2.0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,49,-121,1762,12,133,21
22,84,7,1,False,2023-10-21T16:30:00Z,2.0,2.0,9,22,0,0,0,0,0,0,0,0,0,0,0,2,0.0,0.7,0.0,0.0,0,0.00,0.00,0.00,0.06,53,-374,12040,297,671,22
23,88,12,0,True,2023-10-21T14:00:00Z,2.0,2.0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,40,-1847,29603,187,2034,23
24,84,7,0,False,2023-10-21T16:30:00Z,2.0,2.0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,44,-493,11826,0,493,24
25,84,7,1,False,2023-10-21T16:30:00Z,2.0,2.0,9,45,0,0,0,1,0,0,0,0,0,0,0,3,0.6,1.4,8.0,1.0,0,0.11,0.01,0.12,0.18,45,127,25817,1401,1274,25
26,84,7,6,False,2023-10-21T16:30:00Z,2.0,2.0,9,12,1,0,0,0,0,0,0,0,0,0,0,20,33.0,0.0,33.0,6.6,0,0.34,0.00,0.34,0.02,66,-20857,159436,1571,22428,26
27,89,14,0,True,2023-10-21T19:00:00Z,1.0,2.0,9,90,0,0,0,2,0,0,0,1,0,0,0,9,16.4,0.3,2.0,1.9,1,0.00,0.00,0.00,1.05,39,23461,126919,29420,5959,27
28,88,12,1,True,2023-10-21T14:00:00Z,2.0,2.0,9,90,0,0,0,2,0,0,0,0,0,2,0,16,17.2,0.0,0.0,1.7,1,0.00,0.00,0.00,1.71,41,115021,1680652,133673,18652,28
29,84,7,0,False,2023-10-21T16:30:00Z,2.0,2.0,9,90,0,0,0,2,0,0,0,1,0,0,0,8,13.6,27.2,0.0,4.1,1,0.00,0.07,0.07,1.36,56,216831,1333314,244689,27858,29
30,84,7,0,False,2023-10-21T16:30:00Z,2.0,2.0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,60,-13,1033,0,13,30
31,84,7,0,False,2023-10-21T16:30:00Z,2.0,2.0,9,45,0,0,0,1,0,0,0,1,0,0,0,0,0.0,1.5,0.0,0.0,1,0.00,0.01,0.01,1.18,49,20903,575220,43414,22511,31
32,81,19,0,True,2023-10-22T15:30:00Z,4.0,1.0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,50,-602,5255,158,760,32
33,89,14,2,True,2023-10-21T19:00:00Z,1.0,2.0,9,90,0,0,0,2,0,0,0,0,0,0,0,6,7.2,12.0,39.0,5.8,1,0.21,0.01,0.22,1.05,45,52192,878173,99203,47011,33
34,81,19,6,True,2023-10-22T15:30:00Z,4.0,1.0,9,14,1,0,0,0,0,0,0,0,0,0,0,21,32.4,1.4,25.0,5.9,0,0.31,0.01,0.32,0.25,55,-4280,102237,5144,9424,34
35,81,19,0,True,2023-10-22T15:30:00Z,4.0,1.0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,58,-78,4244,58,136,35
