element,fixture,opponent_team,total_points,was_home,kickoff_time,team_h_score,team_a_score,round,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,starts,expected_goals,expected_assists,expected_goal_involvements,expected_goals_conceded,value,transfers_balance,selected,transfers_in,transfers_out,player_id
1,193,10,0,False,2023-12-31T14:00:00Z,,,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,44,-293,20672,0,293,1
2,193,10,0,False,2023-12-31T14:00:00Z,,,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,39,-374,43546,814,1188,2
3,193,10,0,False,2023-12-31T14:00:00Z,,,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,44,-183,8408,85,268,3
4,193,10,0,False,2023-12-31T14:00:00Z,,,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,54,-116,8876,9,125,4
5,193,10,0,False,2023-12-31T14:00:00Z,,,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,50,68248,1825195,97474,29226,5
6,193,10,0,False,2023-12-31T14:00:00Z,,,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,71,-2033,170193,3842,5875,6
7,192,4,0,True,2023-12-30T15:00:00Z,,,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,43,-184,12091,21,205,7
8,193,10,0,False,2023-12-31T14:00:00Z,,,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,80,7408,591098,61593,54185,8
9,193,10,0,False,2023-12-31T14:00:00Z,,,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,53,-137,18472,113,250,9
10,193,10,0,False,2023-12-31T14:00:00Z,,,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,43,-128,8896,69,197,10
11,193,10,0,False,2023-12-31T14:00:00Z,,,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,45,-25,4496,0,25,11
12,193,10,0,False,2023-12-31T14:00:00Z,,,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,77,-37373,573706,8527,45900,12
13,193,10,0,False,2023-12-31T14:00:00Z,,,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,53,-42290,491991,3536,45826,13
14,193,10,0,False,2023-12-31T14:00:00Z,,,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,84,25549,1622013,64620,39071,14
15,193,10,0,False,2023-12-31T14:00:00Z,,,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,48,-94,15641,10,104,15
